"age_group","date","J12_18","ach_noj","a10_b99_nopneumo","K00_99","E00_99","N00_99","S00_T99","I00_99","E10_14","I60_64","pandemic","G00_99_SY","N39","C00_D48","A41","Z00_99","L00_99","D50_89","M00_99","E40_46","H00_99_SY","K80","Q00_99","cj20_J22","P00_99","K35"
"08_1_11",2004-01-01,25,-1.54188330479392,-1.47981206051028,-1.08073868022,-1.57447036257467,-0.406343073273977,-0.72956446486767,-1.29160480516073,-0.504342781276204,0.34144555756955,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-02-01,14,-1.63949130721901,-0.718905733117526,-1.49020467918177,-3.32990353318329,-1.27520370506359,-0.567098961619089,-1.89651979673905,-2.12266058108103,-1.74164454343408,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-03-01,32,-1.22205221531768,-1.24723686376764,-0.575553221048174,0.198708050292663,0.00807185672787423,-1.34559006247227,-1.58157564220084,-1.46566404982436,0.34144555756955,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-04-01,21,-2.23743506830405,-1.24723686376764,-1.98646053371417,-0.960823739031122,-1.27520370506359,-0.910117066095348,-2.24114771011269,-0.504342781276204,-0.690769240134784,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-05-01,27,-2.00680312791485,-0.452915773228822,-4.07027717228241,-0.445822279265516,-1.71736110466866,-0.159140187482199,-3.04634688831992,0.196963983557801,-1.74164454343408,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-06-01,21,-1.79175354437009,-1.75918880590203,-1.08073868022,-1.25301423576705,-2.24421086440708,-0.419424451358267,-1.97968171779729,-2.12266058108103,-1.16048041379859,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-07-01,22,-1.49417886580543,-1.47981206051028,-0.575553221048174,-1.25301423576705,-1.27520370506359,-0.419424451358267,-1.7356601781549,-0.504342781276204,-2.09345937121723,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-08-01,30,-1.01179686207052,-1.47981206051028,0.299668422056153,0.387696715447823,-0.55958128451429,-2.8966720296065,-0.426666062916554,0.196963983557801,-1.16048041379859,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-09-01,26,-1.0322085457192,-3.28869327564345,-0.160034427007122,0.198708050292663,-0.123266213832128,-0.910117066095348,-0.538398928343103,0.196963983557801,-0.296565262105549,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-10-01,21,-1.31020211429374,-1.04800972765256,0.0810471282647851,-0.960823739031122,-0.721838565839029,-0.910117066095348,-1.36197172415648,-2.12266058108103,-1.43392972874206,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-11-01,15,-0.991515190027617,-1.04800972765256,-0.428725213597128,0.198708050292663,-0.55958128451429,-0.284071064761954,-0.895654868116661,0.196963983557801,0.34144555756955,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-12-01,19,-1.35520939002938,-0.718905733117526,-1.08073868022,-1.57447036257467,-0.55958128451429,0.166608602533277,-1.89651979673905,-0.130242660821766,-1.74164454343408,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2005-01-01,17,-0.814569017285491,-0.452915773228822,0.299668422056153,1.72044685667888,-0.261173860388304,-1.61676899978967,-1.50690025403786,1.20517872818083,-0.690769240134784,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2005-02-01,13,-1.11518944346603,-0.718905733117526,-0.160034427007122,-1.25301423576705,-0.55958128451429,-0.910117066095348,-1.65780687901808,-0.504342781276204,-1.43392972874206,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
