"age_group","date","J12_18","ach_noj","a10_b99_nopneumo","K00_99","E00_99","N00_99","S00_T99","I00_99","E10_14","I60_64","pandemic","G00_99_SY","N39","C00_D48","A41","Z00_99","L00_99","D50_89","M00_99","E40_46","H00_99_SY","K80","Q00_99","cj20_J22","P00_99","K35"
"08_1_11",2004-01-01,25,-1.46780894244354,-1.14865155246515,-1.04883219348332,-1.56855528182177,-0.557824973869896,-0.880751162986345,-1.58990008136688,-1.3642224707272,-0.35291780943166,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-02-01,14,-1.46780894244354,-1.14865155246515,-1.04883219348332,-1.56855528182177,-0.557824973869896,-0.880751162986345,-1.58990008136688,-1.3642224707272,-0.35291780943166,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-03-01,32,-1.46780894244354,-1.14865155246515,-1.04883219348332,-1.56855528182177,-0.557824973869896,-0.880751162986345,-1.58990008136688,-1.3642224707272,-0.35291780943166,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-04-01,21,-2.01199724686299,-1.1531138142995,-2.37915879540553,-0.88655341802123,-1.74559189137978,-0.496227234978605,-2.42239210540997,-0.810013126266477,-1.19763139912248,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-05-01,27,-2.01199724686299,-1.1531138142995,-2.37915879540553,-0.88655341802123,-1.74559189137978,-0.496227234978605,-2.42239210540997,-0.810013126266477,-1.19763139912248,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-06-01,21,-2.01199724686299,-1.1531138142995,-2.37915879540553,-0.88655341802123,-1.74559189137978,-0.496227234978605,-2.42239210540997,-0.810013126266477,-1.19763139912248,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-07-01,22,-1.17939475786505,-2.08277246555467,-0.145306408666381,-0.222203156675522,-0.652683734470001,-1.40873784902004,-0.900241723138185,-0.0368049380535342,-1.18350168237379,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-08-01,30,-1.17939475786505,-2.08277246555467,-0.145306408666381,-0.222203156675522,-0.652683734470001,-1.40873784902004,-0.900241723138185,-0.0368049380535342,-1.18350168237379,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-09-01,26,-1.17939475786505,-2.08277246555467,-0.145306408666381,-0.222203156675522,-0.652683734470001,-1.40873784902004,-0.900241723138185,-0.0368049380535342,-1.18350168237379,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-10-01,21,-1.21897556478358,-0.938308396140883,-0.476138921850781,-0.778862017104376,-0.613667044955869,-0.342526509441342,-1.38471546300406,-0.685313086114997,-0.94470957153553,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
